#,Stack,Input,Action
175,0 3 7 24 56 26 58 100 130 28 61 107,": inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
176,0 3 7 24 56 26 58 100 130 28 61 107 136,": inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $","r18 (<rep_id> → , id <rep_id>)"
177,0 3 7 24 56 26 58 100 130 28 60,": inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
178,0 3 7 24 56 26 58 100 130 151,": inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s164
179,0 3 7 24 56 26 58 100 130 151 164,"inteiro ) : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
180,0 3 7 24 56 26 58 100 130 151 164 10,") : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
181,0 3 7 24 56 26 58 100 130 151 164 170,") : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r16 (<rep_listapar> → )
182,0 3 7 24 56 26 58 100 130 151 164 170 175,") : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r14 (<listapar> → val <lid> : <tipo_pre_def> <rep_listapar>)
183,0 3 7 24 56 26 58 100 128,") : inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s149
184,0 3 7 24 56 26 58 100 128 149,": inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r11 (<parametros> → ( <listapar> ))
185,0 3 7 24 56 26 58 101,": inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s131
186,0 3 7 24 56 26 58 101 131,"inteiro ; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
187,0 3 7 24 56 26 58 101 131 10,"; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
188,0 3 7 24 56 26 58 101 131 152,"; var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s165
189,0 3 7 24 56 26 58 101 131 152 165,"var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r4 (<dcl_const> → )
190,0 3 7 24 56 26 58 101 131 152 165 3,"var id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s8
191,0 3 7 24 56 26 58 101 131 152 165 3 8,"id : inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s28
192,0 3 7 24 56 26 58 101 131 152 165 3 8 28,": inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r19 (<rep_id> → )
193,0 3 7 24 56 26 58 101 131 152 165 3 8 28 60,": inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r17 (<lid> → id <rep_id>)
194,0 3 7 24 56 26 58 101 131 152 165 3 8 27,": inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s59
195,0 3 7 24 56 26 58 101 131 152 165 3 8 27 59,"inteiro ; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s10
196,0 3 7 24 56 26 58 101 131 152 165 3 8 27 59 10,"; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r26 (<tipo_pre_def> → inteiro)
197,0 3 7 24 56 26 58 101 131 152 165 3 8 27 59 103,"; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r22 (<tipo> → <tipo_pre_def>)
198,0 3 7 24 56 26 58 101 131 152 165 3 8 27 59 102,"; inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s132
199,0 3 7 24 56 26 58 101 131 152 165 3 8 27 59 102 132,"inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r6 (<dcl_var> → )
200,0 3 7 24 56 26 58 101 131 152 165 3 8 27 59 102 132 153,"inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r5 (<dcl_var> → var <lid> : <tipo> ; <dcl_var>)
201,0 3 7 24 56 26 58 101 131 152 165 3 7,"inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r8 (<dcl_procs> → )
202,0 3 7 24 56 26 58 101 131 152 165 3 7 23,"inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r2 (<declaracoes> → <dcl_const> <dcl_var> <dcl_procs>)
203,0 3 7 24 56 26 58 101 131 152 165 171,"inicio se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s6
204,0 3 7 24 56 26 58 101 131 152 165 171 6,"se id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s18
205,0 3 7 24 56 26 58 101 131 152 165 171 6 18,"id > id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
206,0 3 7 24 56 26 58 101 131 152 165 171 6 18 46,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
207,0 3 7 24 56 26 58 101 131 152 165 171 6 18 46 91,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
208,0 3 7 24 56 26 58 101 131 152 165 171 6 18 44,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
209,0 3 7 24 56 26 58 101 131 152 165 171 6 18 40,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
210,0 3 7 24 56 26 58 101 131 152 165 171 6 18 40 83,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
211,0 3 7 24 56 26 58 101 131 152 165 171 6 18 39,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
212,0 3 7 24 56 26 58 101 131 152 165 171 6 18 39 78,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
213,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38,"> id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s74
214,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 74,"id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r54 (<oprel> → >)
215,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71,"id entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
216,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 46,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
217,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 46 91,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
218,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 44,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
219,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 40,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
220,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 40 83,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
221,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 39,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
222,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 39 78,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
223,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 71 117,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r50 (<resto_expressao> → <oprel> <expsimp>)
224,0 3 7 24 56 26 58 101 131 152 165 171 6 18 38 70,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
225,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37,"entao id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s69
226,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69,"id := id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
227,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16,":= id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
228,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33,"id senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
229,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 46,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
230,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 46 91,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
231,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 44,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
232,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 40,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
233,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 40 83,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
234,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 39,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
235,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 39 78,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
236,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 38,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
237,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 38 70,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
238,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 33 65,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r43 (<rcomid> → := <expressao>)
239,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 16 32,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
240,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116,"senao id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s142
241,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142,"id := id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
242,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16,":= id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s33
243,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33,"id ; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
244,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 46,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
245,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 46 91,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
246,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 44,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r73 (<fator> → <variavel>)
247,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 40,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r66 (<rep_termo> → )
248,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 40 83,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r64 (<termo> → <fator> <rep_termo>)
249,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 39,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r60 (<rep_expsimp> → )
250,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 39 78,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r58 (<expsimp> → <termo> <rep_expsimp>)
251,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 38,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r51 (<resto_expressao> → )
252,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 38 70,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r49 (<expressao> → <expsimp> <resto_expressao>)
253,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 33 65,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r43 (<rcomid> → := <expressao>)
254,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 16 32,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r33 (<comando> → id <rcomid>)
255,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 142 160,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r41 (<senaoparte> → senao <comando>)
256,0 3 7 24 56 26 58 101 131 152 165 171 6 18 37 69 116 141,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r35 (<comando> → se <expressao> entao <comando> <senaoparte>)
257,0 3 7 24 56 26 58 101 131 152 165 171 6 15,"; id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s31
258,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31,"id ( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s16
259,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16,"( id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s35
260,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35,"id ) fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",s46
261,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 46,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r78 (<rvar> → )
262,0 3 7 24 56 26 58 101 131 152 165 171 6 15 31 16 35 46 91,") fim ; inicio id := num_int ; id := num_int ; id := id ( id , id ) ; enquanto id > num_int faca inicio escreva ( id ) ; id := id - num_int fim ; repita leia ( id , id ) ate id = id fim . $",r75 (<variavel> → id <rvar>)
